s.no	worker_id	original_tableid	original_hypothesis	original_label	modified_tableid	modified_hypothesis	modified_label
0	IA0	T68	Jet quit performing over five years ago.	C	T68_mod_3	Jet quit performing over five years ago.	E
0	IA1	T405	The Republic of Burundi's capital is not the largest city in the country.	E	T405_mod_2	The Republic of Burundi's capital is not the largest city in the country.	C
0	IA0	T447	The Proclamation of the People's Republic preceded the People's Republic declaration.	C	T447_mod_1	The Proclamation of the People's Republic preceded the People's Republic declaration.	E
0	IA0	T447	China's constitution came before the People's Republic was proclaimed.	C	T447_mod_2	China's constitution came before the People's Republic was proclaimed.	E
0	IA0	T207	Burn Energy comes in many different flavors.	E	T207_mod_1	Burn Energy comes in many different flavors.	C
0	IA0	T554	Danehill's owner and trainer were the same man.	C	T554_mod_1	Danehill's owner and trainer were the same man.	E
0	IA1	T361	Joaquin Phoenix was born in the United States.	C	T361_mod_1	Joaquin Phoenix was born in the United States.	E
0	IA0	T734	David Cook is an American game designer.	E	T734_mod_1	David Cook is an American game designer.	C
0	IA0	T899	Chengdu's lowest elevation is sea level.	C	T899_mod_1	Chengdu's lowest elevation is sea level.	E
0	IA0	T491	Cory Monteith is born on May 11, 1982	E	T491_mod_1	Cory Monteith is born on May 11, 1982	C
0	IA0	T1002	Catalonia has 50% of the deputies in the Congress of Deputies.	C	T1002_mod_1	Catalonia has 50% of the deputies in the Congress of Deputies.	E
0	IA0	T578	Close Encounters of the Third Kind was produced and distributed by the same company.	C	T578_mod_1	Close Encounters of the Third Kind was produced and distributed by the same company.	E
0	IA0	T1002	Catalonia is a constitutional monarchy with congressional deputies and senators.	E	T1002_mod_2	Catalonia is a constitutional monarchy with congressional deputies and senators.	C
0	IA0	T1164	The first Romanian Footballer of the Year award was handed out in 1966.	E	T1164_mod_1	The first Romanian Footballer of the Year award was handed out in 1966.	C
0	IA1	T578	Close Encounters of the Third Kind was a failure at the box office.	C	T578_mod_2	Close Encounters of the Third Kind was a failure at the box office.	E
0	IA0	T709	Crack-Up has recorded at several studios only on the east coast.	C	T709_mod_1	Crack-Up has recorded at several studios only on the east coast.	E
0	IA0	T741	David Duchovny was once married to Tea Leona for about over 15 years.	E	T741_mod_1	David Duchovny was once married to Tea Leona for about over 15 years.	C
0	IA0	T1164	The Romanian Footballer of the Year award has been given out over fifty times.	E	T1164_mod_2	The Romanian Footballer of the Year award has been given out over fifty times.	C
0	IA1	T741	David Duchovny lives in the western U.S.	E	T741_mod_2	David Duchovny lives in the western U.S.	C
0	IA1	T1164	The Romanian Footballer of the Year has never had a repeat winner.	C	T1164_mod_3	The Romanian Footballer of the Year has never had a repeat winner.	E
0	IA1	T785	Ctrl began recording three years before it was released.	E	T785_mod_1	Ctrl began recording three years before it was released.	C
0	IA0	T1287	American Automobile Association is a not-for-profit organization specializing in roadside assistance.	E	T1287_mod_1	American Automobile Association is a not-for-profit organization specializing in roadside assistance.	C
0	IA1	T799	Colin Kaepernick has rushed over 2000 yards.	E	T799_mod_1	Colin Kaepernick has rushed over 2000 yards.	C
0	IA0	T1287	American Automobile Association is a publicly funded government entity.	C	T1287_mod_2	American Automobile Association is a publicly funded government entity.	E
0	IA1	T928	Charlie and the Chocolate Factory is a film adaptation of a novel.	E	T928_mod_1	Charlie and the Chocolate Factory is a film adaptation of a novel.	C
0	IA1	T1457	Jimmy Fallon attended college.	E	T1457_mod_1	Jimmy Fallon attended college.	C
0	IA0	T1457	Jimmy Fallon's career has been going on for more than two decades.	E	T1457_mod_2	Jimmy Fallon's career has been going on for more than two decades.	C
0	IA0	T1440	Keeping Up with the Joneses lost money at the box office compared to it's budget.	E	T1440_mod_1	Keeping Up with the Joneses lost money at the box office compared to it's budget.	C
0	IA1	T1516	Justice League Dark runs for over an hour.	E	T1516_mod_1	Justice League Dark runs for over an hour.	C
0	IA0	T1508	Josta was still being made in the 21st century.	C	T1508_mod_1	Josta was still being made in the 21st century.	E
0	IA0	T1516	Justice League Dark was released in the 1990s.	C	T1516_mod_2	Justice League Dark was released in the 1990s.	E
0	IA0	T1557	The Gihon Spring settlement (Jerusalem) lasted for over 225 years.	C	T1557_mod_1	The Gihon Spring settlement (Jerusalem) lasted for over 225 years.	E
0	IA1	T1618	Jupiter and Io took half a decade to paint.	C	T1618_mod_1	Jupiter and Io took half a decade to paint.	E
0	IA0	T1557	The East-West Jerusalem division occurred in Jerusalem near the turn of the 20th century.	E	T1557_mod_2	The East-West Jerusalem division occurred in Jerusalem near the turn of the 20th century.	C
0	IA1	T1612	Johann Nikolaus von Dreyse died in the Summer of 1867.	C	T1612_mod_1	Johann Nikolaus von Dreyse died in the Summer of 1867.	E
0	IA0	T1819	Hugo is based on The Invention of Hugo Cabret	E	T1819_mod_1	Hugo is based on The Invention of Hugo Cabret	C
0	IA1	T1819	Hugo stars a largely unknown cast.	C	T1819_mod_2	Hugo stars a largely unknown cast.	E
0	IA0	T13	Fearless' recording spanned across two years.	E	T13_mod_1	Fearless' recording spanned across two years.	C
0	IA0	T104	The E Street Band has been active as a band for over 50 years.	C	T104_mod_1	The E Street Band has been active as a band for over 50 years.	E
0	IA1	T1618	The painting, Jupiter and lo, is a fine example of watercolors.	C	T1618_mod_2	The painting, Jupiter and lo, is a fine example of watercolors.	E
0	IA0	T272	Chesney Henry Baker was born in the Netherlands.	C	T272_mod_1	Chesney Henry Baker was born in the Netherlands.	E
0	IA0	T319	The Czech Republic has only one official language.	C	T319_mod_1	The Czech Republic has only one official language.	E
0	IA1	T1677	Johannes Gutenberg was born about the turn of the 15th century.	E	T1677_mod_1	Johannes Gutenberg was born about the turn of the 15th century.	C
0	IA0	T372	Florence Lawrence divorced the majority of her husbands.	E	T372_mod_1	Florence Lawrence divorced the majority of her husbands.	C
0	IA0	T1728	Kaput and Zšsky: The Ultimate Obliterators had only one production company.	C	T1728_mod_1	Kaput and Zšsky: The Ultimate Obliterators had only one production company.	E
0	IA1	T1728	Kaput and Zšsky: The Ultimate Obliterators was produced by two people.	E	T1728_mod_2	Kaput and Zšsky: The Ultimate Obliterators was produced by two people.	C
0	IA0	T422	Jerry Lee Lewis is from the Pacific Northwest region of the United States.	C	T422_mod_1	Jerry Lee Lewis is from the Pacific Northwest region of the United States.	E
0	IA0	T720	David Bowie was recorded in just a week in January of 1967.	C	T720_mod_1	David Bowie was recorded in just a week in January of 1967.	E
0	IA0	T720	The album David Bowie was recorded in the UK.	E	T720_mod_2	The album David Bowie was recorded in the UK.	C
0	IA0	T20	Flatbush Zombies are named, in part, after the city they are from.	E	T20_mod_1	Flatbush Zombies are named, in part, after the city they are from.	C
0	IA1	T746	The Cross-country skiing event at the XXIII Olympics ran at the Alpensia Cross-Country Centre	E	T746_mod_1	The Cross-country skiing event at the XXIII Olympics ran at the Alpensia Cross-Country Centre	C
0	IA0	T152	Jane Austen died in the Summer of 1817.	E	T152_mod_1	Jane Austen died in the Summer of 1817.	C
0	IA1	T790	The Republic of Cuba has had its current constitution for 20 years.	C	T790_mod_1	The Republic of Cuba has had its current constitution for 20 years.	E
0	IA0	T286	Fan Bingbing's career spans four decades.	C	T286_mod_1	Fan Bingbing's career spans four decades.	E
0	IA1	T790	The Cuban Revolution lasted for less than five years.	C	T790_mod_2	The Cuban Revolution lasted for less than five years.	E
0	IA1	T286	Fˆn B_ngb_ng is married.	C	T286_mod_2	Fˆn B_ngb_ng is married.	E
0	IA1	T947	Tswana people are the largest ethnic group in Botswana.	E	T947_mod_1	Tswana people are the largest ethnic group in Botswana.	C
0	IA1	T332	Jay Park began his career in his teenage years.	C	T332_mod_1	Jay Park began his career in his teenage years.	E
0	IA0	T947	The Republic of Botswana is a majority Christian country.	E	T947_mod_2	The Republic of Botswana is a majority Christian country.	C
0	IA0	T1047	Changsha's metro area includes an extra million people more than the urban population.	C	T1047_mod_1	Changsha's metro area includes an extra million people more than the urban population.	E
0	IA0	T403	John Harrison was awarded a medal after he died.	C	T403_mod_1	John Harrison was awarded a medal after he died.	E
0	IA0	T403	John Harrison was born and died in the same city.	C	T403_mod_2	John Harrison was born and died in the same city.	E
0	IA1	T1212	Glacier National Park had more that 2 million visitors in the year 2018.	E	T1212_mod_1	Glacier National Park had more that 2 million visitors in the year 2018.	C
0	IA0	T1212	Glacier National Park was designated a park less than a century ago.	C	T1212_mod_2	Glacier National Park was designated a park less than a century ago.	E
0	IA0	T440	The Republic of Chile primarily has a white population.	E	T440_mod_1	The Republic of Chile primarily has a white population.	C
0	IA0	T1212	Glacier National Park is comprised of one county, Flathead County, in Montana.	C	T1212_mod_3	Glacier National Park is comprised of one county, Flathead County, in Montana.	E
0	IA1	T544	Despicable Me 3 first made its box offie run starring in the summer of 2016.	C	T544_mod_1	Despicable Me 3 first made its box offie run starring in the summer of 2016.	E
0	IA0	T1395	The pre-grouping and post-grouping of Broadgreen remained the same.	C	T1395_mod_1	The pre-grouping and post-grouping of Broadgreen remained the same.	E
0	IA0	T680	CKY has worked with only a few labels throughout its career.	C	T680_mod_1	CKY has worked with only a few labels throughout its career.	E
0	IA1	T1395	The Broadgreen station opened in the Fall of 1830.	E	T1395_mod_2	The Broadgreen station opened in the Fall of 1830.	C
0	IA0	T733	Coca-Cola with Lime/Diet Coke with Citrus Zest is only made in the United States.	C	T733_mod_1	Coca-Cola with Lime/Diet Coke with Citrus Zest is only made in the United States.	E
0	IA1	T1491	Judith and the Head of Holofernes was painted on a massive canvas.	C	T1491_mod_1	Judith and the Head of Holofernes was painted on a massive canvas.	E
0	IA0	T761	David Cross is a pop group from Pennsylvania.	C	T761_mod_1	David Cross is a pop group from Pennsylvania.	E
0	IA0	T761	Code Orange got their start in the 21st century.	E	T761_mod_2	Code Orange got their start in the 21st century.	C
0	IA1	T1534	Joe Rogan has been married for close to 15 years.	C	T1534_mod_1	Joe Rogan has been married for close to 15 years.	E
0	IA1	T793	Tommy Farrell has no nephews.	C	T793_mod_1	Tommy Farrell has no nephews.	E
0	IA0	T1534	Joe Rogan went to college on the west coast.	C	T1534_mod_2	Joe Rogan went to college on the west coast.	E
0	IA1	T828	The musician Common was born named Lonnie.	E	T828_mod_1	The musician Common was born named Lonnie.	C
0	IA0	T1534	Joe Rogan got married when he was in his 40s.	E	T1534_mod_3	Joe Rogan got married when he was in his 40s.	C
0	IA0	T1148	Britney Spears married Kevin Federline the same year she divorced Jason Alexander.	E	T1148_mod_1	Britney Spears married Kevin Federline the same year she divorced Jason Alexander.	C
0	IA0	T1148	Britney Spears has been active for more than 30 years.	C	T1148_mod_2	Britney Spears has been active for more than 30 years.	E
0	IA1	T1592	Joy was able to net a profit at the box office.	E	T1592_mod_1	Joy was able to net a profit at the box office.	C
0	IA1	T1267	Brandon Richard Flowers was born in Nevada.	E	T1267_mod_1	Brandon Richard Flowers was born in Nevada.	C
0	IA0	T1592	Joy was produced by John Davis, Megan Ellison, Jonathan Gordon, Ken Mok, and David O. Russell.	E	T1592_mod_2	Joy was produced by John Davis, Megan Ellison, Jonathan Gordon, Ken Mok, and David O. Russell.	C
0	IA0	T1267	Brandon Richard Flowers has more associated acts than labels he has been on.	C	T1267_mod_2	Brandon Richard Flowers has more associated acts than labels he has been on.	E
0	IA0	T1690	Jinder Mahal made his debut in the 1990s.	C	T1690_mod_1	Jinder Mahal made his debut in the 1990s.	E
0	IA1	T1768	Iced Earth has been signed with their current label for over a decade.	C	T1768_mod_1	Iced Earth has been signed with their current label for over a decade.	E
0	IA1	T1768	Iced Earth's style has been characterized as more than one genre.	E	T1768_mod_2	Iced Earth's style has been characterized as more than one genre.	C
0	IA0	T1456	Jupiter takes over 10 years to orbit the sun.	E	T1456_mod_1	Jupiter takes over 10 years to orbit the sun.	C
0	IA1	T68	Jet took a four year hiatus from performing.	E	T68_mod_4	Jet took a four year hiatus from performing.	C
0	IA1	T1503	Jim Belushi has worked as an entertainer.	E	T1503_mod_1	Jim Belushi has worked as an entertainer.	C
0	IA0	T207	Burn Energy was introduced relatively close to the Millenium.	E	T207_mod_2	Burn Energy was introduced relatively close to the Millenium.	C
0	IA0	T413	Justus von Liebig never won any awards for their works.	C	T413_mod_1	Justus von Liebig never won any awards for their works.	E
0	IA0	T413	Justus von Liebig was born in 1803 and died aged 69.	E	T413_mod_2	Justus von Liebig was born in 1803 and died aged 69.	C
0	IA0	T709	Crack-Up was produced by Barry Gordy and recorded in 2003.	C	T709_mod_2	Crack-Up was produced by Barry Gordy and recorded in 2003.	E
0	IA0	T1550	J?rgen Skafte Rasmussen had four children.	E	T1550_mod_1	J?rgen Skafte Rasmussen had four children.	C
0	IA0	T799	Colin Kaepernick has more rushing yards than rushing touchdowns.	E	T799_mod_2	Colin Kaepernick has more rushing yards than rushing touchdowns.	C
0	IA1	T1550	J?rgen Skafte Rasmussen was married to Theresie Liebe.	C	T1550_mod_2	J?rgen Skafte Rasmussen was married to Theresie Liebe.	E
0	IA0	T839	DC Comics Presents lasted over 8 years.	E	T839_mod_1	DC Comics Presents lasted over 8 years.	C
0	IA1	T1664	Jessie J was born in the Summer of 1988.	C	T1664_mod_1	Jessie J was born in the Summer of 1988.	E
0	IA0	T928	The narrator and editor of Charlie and the Chocolate Factory have the same first name.	C	T928_mod_2	The narrator and editor of Charlie and the Chocolate Factory have the same first name.	E
0	IA0	T1664	Jessie J only performs pop music.	C	T1664_mod_2	Jessie J only performs pop music.	E
0	IA0	T1179	Brigadier Gerard was foaled in the early part of the 20th century.	C	T1179_mod_1	Brigadier Gerard was foaled in the early part of the 20th century.	E
0	IA0	T1369	Florida State University was established in 1851 and its president is John E. Thrasher.	E	T1369_mod_1	Florida State University was established in 1851 and its president is John E. Thrasher.	C
0	IA0	T1369	Florida State University was founded in the 20th century.	C	T1369_mod_2	Florida State University was founded in the 20th century.	E
0	IA1	T1702	Kas was introduced within 10 years of the turn of the 20th century.	E	T1702_mod_1	Kas was introduced within 10 years of the turn of the 20th century.	C
0	IA0	T1440	Keeping Up with the Joneses lasts less than two hours.	E	T1440_mod_2	Keeping Up with the Joneses lasts less than two hours.	C
0	IA0	T1702	Kas came out over 60 years ago.	C	T1702_mod_2	Kas came out over 60 years ago.	E
0	IA0	T1440	Keeping Up with the Joneses took in less money than it cost to produce.	E	T1440_mod_3	Keeping Up with the Joneses took in less money than it cost to produce.	C
0	IA1	T1791	Huddersfield Ben was born in the 18th century.	C	T1791_mod_1	Huddersfield Ben was born in the 18th century.	E
0	IA0	T1516	Justice League Dark has a run time that is under 1.5 hours long.	E	T1516_mod_3	Justice League Dark has a run time that is under 1.5 hours long.	C
0	IA1	T1580	Kate Hudson is in her thirties.	E	T1580_mod_1	Kate Hudson is in her thirties.	C
0	IA0	T29	Bullet for My Valentine was known as Jeff Killed John earlier in time.	E	T29_mod_3	Bullet for My Valentine was known as Jeff Killed John earlier in time.	C
0	IA1	T1677	Johannes Gutenberg died in the Fall of 1468.	C	T1677_mod_2	Johannes Gutenberg died in the Fall of 1468.	E
0	IA1	T154	Charlie Sheen was born in the Fall of 1965.	E	T154_mod_2	Charlie Sheen was born in the Fall of 1965.	C
0	IA0	T1677	Johannes Gutenberg lived in the 14th century.	C	T1677_mod_3	Johannes Gutenberg lived in the 14th century.	E
0	IA0	T154	Charlie Sheen is still married to Brooke Mueller.	C	T154_mod_3	Charlie Sheen is still married to Brooke Mueller.	E
0	IA0	T1728	Kaput and Zšsky: The Ultimate Obliterators takes about a half an hour to watch.	E	T1728_mod_3	Kaput and Zšsky: The Ultimate Obliterators takes about a half an hour to watch.	C
0	IA0	T1861	Iceland was settled over a thousand years ago.	E	T1861_mod_1	Iceland was settled over a thousand years ago.	C
0	IA1	T294	Fast & Furious was released to the general public in the United States before it was shown at Universal CityWalk.	C	T294_mod_3	Fast & Furious was released to the general public in the United States before it was shown at Universal CityWalk.	E
0	IA0	T1861	Iceland became a republic over a hundred years ago.	C	T1861_mod_2	Iceland became a republic over a hundred years ago.	E
0	IA1	T405	There are more Tutsis than Hutus living in Burundi.	C	T405_mod_3	There are more Tutsis than Hutus living in Burundi.	E
0	IA0	T447	The People's Republic of China has had the same ruling families for over 1000 years.	C	T447_mod_3	The People's Republic of China has had the same ruling families for over 1000 years.	E
0	IA0	T2032	Joko Widodo is the president of Republic of Indonesia.	E	T2032_mod_1	Joko Widodo is the president of Republic of Indonesia.	C
0	IA1	T447	The People's Republic of China had their current constitution written in the 1980s.	E	T447_mod_4	The People's Republic of China had their current constitution written in the 1980s.	C
0	IA0	T68	Jet has been a band for over 10 years.	E	T68_mod_5	Jet has been a band for over 10 years.	C
0	IA1	T68	After breaking up in 2012 Jet never came back together.	C	T68_mod_6	After breaking up in 2012 Jet never came back together.	E
0	IA0	T207	Burn Energy comes in over ten varieties or flavors.	C	T207_mod_3	Burn Energy comes in over ten varieties or flavors.	E
0	IA1	T361	Joaquin Rafael Bottom resides in the city he was born in.	C	T361_mod_2	Joaquin Rafael Bottom resides in the city he was born in.	E
0	IA0	T413	Justus von Liebig received the Albert Medal posthumously.	C	T413_mod_3	Justus von Liebig received the Albert Medal posthumously.	E
0	IA1	T578	Close Encounters of the Third Kind grossed over a quarter billion dollars at the box office over it's budget.	E	T578_mod_3	Close Encounters of the Third Kind grossed over a quarter billion dollars at the box office over it's budget.	C
0	IA1	T554	Danehill's sire was Danzig and its grandsire was Northern Dancer.	E	T554_mod_2	Danehill's sire was Danzig and its grandsire was Northern Dancer.	C
0	IA1	T785	The album Ctrl is over an hour long.	C	T785_mod_2	The album Ctrl is over an hour long.	E
0	IA0	T785	The album Ctrl took three years to record.	E	T785_mod_3	The album Ctrl took three years to record.	C
0	IA0	T688	Dennis Gabor won his awards in successive years starting from 1967.	C	T688_mod_1	Dennis Gabor won his awards in successive years starting from 1967.	E
0	IA1	T799	Colin Kaepernick is currently playing for a team.	C	T799_mod_3	Colin Kaepernick is currently playing for a team.	E
0	IA1	T799	Anyone with over 12,000 passing yards is contracted to a particular team.	C	T799_mod_4	Anyone with over 12,000 passing yards is contracted to a particular team.	E
0	IA1	T777	David Packouz had to go to prison.	C	T777_mod_1	David Packouz had to go to prison.	E
0	IA0	T839	DC Comics presents was active for over 20 years before publishing its last issue.	C	T839_mod_2	DC Comics presents was active for over 20 years before publishing its last issue.	E
0	IA0	T794	David with the Head of Goliath is the size of a postage stamp.	C	T794_mod_1	David with the Head of Goliath is the size of a postage stamp.	E
0	IA0	T928	Charlie and the Chocolate Factory earned more than triple its budget at the box office.	E	T928_mod_3	Charlie and the Chocolate Factory earned more than triple its budget at the box office.	C
0	IA1	T794	David with the Head of Goliath was completed in the 17th Century.	E	T794_mod_2	David with the Head of Goliath was completed in the 17th Century.	C
0	IA0	T1017	Casablanca was produced and directed by the same person.	C	T1017_mod_1	Casablanca was produced and directed by the same person.	E
0	IA0	T1287	The American Automobile Association is headquartered in Chicago.	C	T1287_mod_3	The American Automobile Association is headquartered in Chicago.	E
0	IA1	T1369	Florida State University has more postgraduates than undergraduates in fall 2017.	C	T1369_mod_3	Florida State University has more postgraduates than undergraduates in fall 2017.	E
0	IA1	T1435	Kapil Sharma is old enough to collect social security.	C	T1435_mod_1	Kapil Sharma is old enough to collect social security.	E
0	IA0	T1435	Kapil Sharma is a newlywed.	E	T1435_mod_2	Kapil Sharma is a newlywed.	C
0	IA0	T1440	Keeping Up with the Joneses made twice as much money in the box office as it was budgeted.	C	T1440_mod_4	Keeping Up with the Joneses made twice as much money in the box office as it was budgeted.	E
0	IA0	T1440	Keeping Up with the Joneses takes over two hours to watch.	C	T1440_mod_5	Keeping Up with the Joneses takes over two hours to watch.	E
0	IA1	T1457	Jimmy fallon has been performing for over twenty years.	E	T1457_mod_3	Jimmy fallon has been performing for over twenty years.	C
0	IA1	T1473	Jimson Weed is wider than it is tall.	C	T1473_mod_1	Jimson Weed is wider than it is tall.	E
0	IA0	T1508	Josta lasted less than five years before being discontinued.	E	T1508_mod_2	Josta lasted less than five years before being discontinued.	C
0	IA1	T1557	Jerusalem's Old City walls were built after its Reunification.	C	T1557_mod_3	Jerusalem's Old City walls were built after its Reunification.	E
0	IA0	T1516	Justice League Dark had a story and screenplay by the same person.	E	T1516_mod_4	Justice League Dark had a story and screenplay by the same person.	C
0	IA1	T1557	East and West Jerusalem came back together less than a quarter century after it split.	E	T1557_mod_4	East and West Jerusalem came back together less than a quarter century after it split.	C
0	IA0	T1612	Johann Nikolaus von Dreyse was born in the last couple of decades of the 18th century.	E	T1612_mod_2	Johann Nikolaus von Dreyse was born in the last couple of decades of the 18th century.	C
0	IA0	T1516	Justice League Dark was first released in the Summer of 2017.	C	T1516_mod_5	Justice League Dark was first released in the Summer of 2017.	E
0	IA0	T1580	Kate Hudson's marriage lasted longer than a decade.	C	T1580_mod_2	Kate Hudson's marriage lasted longer than a decade.	E
0	IA0	T1706	The Birthday of Jeff Lynne falls in the Summer.	C	T1706_mod_1	The Birthday of Jeff Lynne falls in the Summer.	E
0	IA0	T1580	The Spring of 1979 was when Kate Hudson was born.	E	T1580_mod_3	The Spring of 1979 was when Kate Hudson was born.	C
0	IA0	T1819	Hugo was a big flop	C	T1819_mod_3	Hugo was a big flop	E
0	IA1	T1618	At it's widest point, Jupiter and Io was more than five feet long.	E	T1618_mod_3	At it's widest point, Jupiter and Io was more than five feet long.	C
0	IA0	T1942	Jacques Charles was born and died in different countries.	C	T1942_mod_1	Jacques Charles was born and died in different countries.	E
0	IA0	T1728	Kaput and Zšsky: The Ultimate Obliterators had a handful of distributors.	C	T1728_mod_4	Kaput and Zšsky: The Ultimate Obliterators had a handful of distributors.	E
0	IA0	T29	The band Bullet for My Valentine is known for playing pop music.	C	T29_mod_4	The band Bullet for My Valentine is known for playing pop music.	E
0	IA1	T1728	Kaput and Zšsky: The Ultimate Obliterators is produced and distributed by the same company.	C	T1728_mod_5	Kaput and Zšsky: The Ultimate Obliterators is produced and distributed by the same company.	E
0	IA0	T154	Charlie Sheen has five children.	E	T154_mod_4	Charlie Sheen has five children.	C
0	IA1	T1861	Iceland became a republic in 1954.	C	T1861_mod_3	Iceland became a republic in 1954.	E
0	IA0	T154	Charlie Sheen has divorced four times.	C	T154_mod_5	Charlie Sheen has divorced four times.	E
0	IA1	T340	Jennifer Love Hewitt resides in a state different than the one she was born.	E	T340_mod_1	Jennifer Love Hewitt resides in a state different than the one she was born.	C
0	IA0	T2032	The upper and lower house of the Republic of Indonesia belong to the same party.	C	T2032_mod_2	The upper and lower house of the Republic of Indonesia belong to the same party.	E
0	IA1	T2032	Republic of Indonesia is a constitutional monarchy.	C	T2032_mod_3	Republic of Indonesia is a constitutional monarchy.	E
0	IA0	T405	The Republic of Burundi has more South Asians than Europeans.	C	T405_mod_4	The Republic of Burundi has more South Asians than Europeans.	E
0	IA0	T12	The monarch of the Faroe Islands is Margethe II	E	T12_mod_1	The monarch of the Faroe Islands is Margethe II	C
0	IA1	T447	People's Republic of China was declared ahead of the Proclamation.	E	T447_mod_5	People's Republic of China was declared ahead of the Proclamation.	C
0	IA0	T74	Katharine McPhee is from the west coast of the U.S.	E	T74_mod_1	Katharine McPhee is from the west coast of the U.S.	C
0	IA1	T734	David Cook has more than one child.	C	T734_mod_2	David Cook has more than one child.	E
0	IA1	T74	Katharine McPhee was born on the west coast of the United States.	E	T74_mod_2	Katharine McPhee was born on the west coast of the United States.	C
0	IA1	T734	David Cook is a lifelong bachelor.	C	T734_mod_3	David Cook is a lifelong bachelor.	E
0	IA0	T261	The Jin never moved their capital.	C	T261_mod_1	The Jin never moved their capital.	E
0	IA0	T794	David with the Head of Goliath was painted in the 17th century.	E	T794_mod_3	David with the Head of Goliath was painted in the 17th century.	C
0	IA0	T370	Everclear has been active for more than a quarter of a century.	E	T370_mod_1	Everclear has been active for more than a quarter of a century.	C
0	IA0	T416	Johnny Depp is an actor, producer, musician, and auto mechanic.	C	T416_mod_1	Johnny Depp is an actor, producer, musician, and auto mechanic.	E
0	IA0	T794	David with the Head of Goliath is an oil painting by the artist Caravaggio.	E	T794_mod_4	David with the Head of Goliath is an oil painting by the artist Caravaggio.	C
0	IA1	T534	C?OC is sold in less than a dozen flavors.	C	T534_mod_1	C?OC is sold in less than a dozen flavors.	E
0	IA0	T829	The Tydings?cDuffie Act was enacted more than a decade before the Treaty of Manila.	E	T829_mod_1	The Tydings?cDuffie Act was enacted more than a decade before the Treaty of Manila.	C
0	IA1	T581	Polmos Krak—w is the manufacturer Cracovia	E	T581_mod_1	Polmos Krak—w is the manufacturer Cracovia	C
0	IA0	T1435	Kapil Sharma was wed in the 21st century.	E	T1435_mod_3	Kapil Sharma was wed in the 21st century.	C
0	IA0	T719	Cristiano Ronaldo is a famous forward in his 30's.	E	T719_mod_1	Cristiano Ronaldo is a famous forward in his 30's.	C
0	IA1	T1435	Kapil Sharma has been married for several years.	C	T1435_mod_4	Kapil Sharma has been married for several years.	E
0	IA0	T1435	Kapil Sharma has been active since his teens.	C	T1435_mod_5	Kapil Sharma has been active since his teens.	E
